title,author,video_file_link,video_stream_link,video_thumbnail_link,manuscript_link,external_reference_link,width,height,embedded_width,embedded_height,length,pages,video_size,manuscript_size
LineareAlgebra.S02E01,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E01.1080p/LineareAlgebra.S02E01.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E01.1080p/LineareAlgebra.S02E01.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E01.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E01.pdf,,1620,1080,1080,720,1h07m40s,3,161 MiB,2.2 MiB
LineareAlgebra.S02E02,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E02.1080p/LineareAlgebra.S02E02.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E02.1080p/LineareAlgebra.S02E02.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E02.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E02.pdf,,1620,1080,1080,720,1h29m09s,4,187 MiB,2.6 MiB
LineareAlgebra.S02E03,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E03.1080p/LineareAlgebra.S02E03.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E03.1080p/LineareAlgebra.S02E03.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E03.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E03.pdf,,1620,1080,1080,720,1h31m23s,5,189 MiB,3.1 MiB
LineareAlgebra.S02E04,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E04.1080p/LineareAlgebra.S02E04.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E04.1080p/LineareAlgebra.S02E04.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E04.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E04.pdf,,1620,1080,1080,720,1h27m16s,5,175 MiB,2.5 MiB
LineareAlgebra.S02E05,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E05.1080p/LineareAlgebra.S02E05.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E05.1080p/LineareAlgebra.S02E05.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E05.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E05.pdf,,1620,1080,1080,720,1h29m44s,4,184 MiB,2.6 MiB
LineareAlgebra.S02E06,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E06.1080p/LineareAlgebra.S02E06.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E06.1080p/LineareAlgebra.S02E06.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E06.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E06.pdf,,1620,1080,1080,720,1h29m27s,4,192 MiB,2.4 MiB
LineareAlgebra.S02E07,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E07.1080p/LineareAlgebra.S02E07.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E07.1080p/LineareAlgebra.S02E07.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E07.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E07.pdf,,1620,1080,1080,720,1h25m29s,3,197 MiB,2.5 MiB
LineareAlgebra.S02E08,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E08.1080p/LineareAlgebra.S02E08.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E08.1080p/LineareAlgebra.S02E08.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E08.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E08.pdf,,1620,1080,1080,720,1h29m21s,4,182 MiB,2.7 MiB
LineareAlgebra.S02E09,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E09.1080p/LineareAlgebra.S02E09.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E09.1080p/LineareAlgebra.S02E09.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E09.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E09.pdf,,1620,1080,1080,720,1h32m30s,5,187 MiB,2.6 MiB
LineareAlgebra.S02E10,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E10.1080p/LineareAlgebra.S02E10.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E10.1080p/LineareAlgebra.S02E10.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E10.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E10.pdf,,1620,1080,1080,720,1h27m13s,5,181 MiB,2.6 MiB
LineareAlgebra.S02E11,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E11.1080p/LineareAlgebra.S02E11.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E11.1080p/LineareAlgebra.S02E11.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E11.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E11.pdf,,1620,1080,1080,720,1h28m17s,5,189 MiB,2.9 MiB
LineareAlgebra.S02E12,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E12.1080p/LineareAlgebra.S02E12.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E12.1080p/LineareAlgebra.S02E12.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E12.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E12.pdf,,1620,1080,1080,720,1h33m53s,5,192 MiB,3.1 MiB
LineareAlgebra.S02E13,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E13.1080p/LineareAlgebra.S02E13.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E13.1080p/LineareAlgebra.S02E13.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E13.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E13.pdf,,1620,1080,1080,720,1h27m28s,5,185 MiB,3.8 MiB
LineareAlgebra.S02E14,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E14.1080p/LineareAlgebra.S02E14.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E14.1080p/LineareAlgebra.S02E14.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E14.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E14.pdf,,1620,1080,1080,720,1h26m10s,5,175 MiB,2.6 MiB
LineareAlgebra.S02E15,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E15.1080p/LineareAlgebra.S02E15.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E15.1080p/LineareAlgebra.S02E15.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E15.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E15.pdf,,1620,1080,1080,720,1h29m32s,4,189 MiB,2.6 MiB
LineareAlgebra.S02E16,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E16.1080p/LineareAlgebra.S02E16.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E16.1080p/LineareAlgebra.S02E16.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E16.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E16.pdf,,1620,1080,1080,720,1h26m22s,4,179 MiB,2.7 MiB
LineareAlgebra.S02E17,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E17.1080p/LineareAlgebra.S02E17.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E17.1080p/LineareAlgebra.S02E17.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E17.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E17.pdf,,1620,1080,1080,720,1h26m56s,5,177 MiB,2.9 MiB
LineareAlgebra.S02E18,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E18.1080p/LineareAlgebra.S02E18.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E18.1080p/LineareAlgebra.S02E18.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E18.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E18.pdf,,1620,1080,1080,720,1h30m12s,5,184 MiB,2.9 MiB
LineareAlgebra.S02E19,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E19.1080p/LineareAlgebra.S02E19.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E19.1080p/LineareAlgebra.S02E19.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E19.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E19.pdf,,1620,1080,1080,720,1h26m11s,6,178 MiB,2.8 MiB
LineareAlgebra.S02E20,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E20.1080p/LineareAlgebra.S02E20.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E20.1080p/LineareAlgebra.S02E20.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E20.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E20.pdf,,1620,1080,1080,720,1h13m22s,4,134 MiB,1.9 MiB
LineareAlgebra.S02E21,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E21.1080p/LineareAlgebra.S02E21.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E21.1080p/LineareAlgebra.S02E21.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E21.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E21.pdf,,1620,1080,1080,720,1h25m33s,5,164 MiB,2.8 MiB
LineareAlgebra.S02E22,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E22.1080p/LineareAlgebra.S02E22.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E22.1080p/LineareAlgebra.S02E22.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E22.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E22.pdf,,1620,1080,1080,720,1h27m02s,5,176 MiB,3.0 MiB
LineareAlgebra.S02E23,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E23.1080p/LineareAlgebra.S02E23.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E23.1080p/LineareAlgebra.S02E23.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E23.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E23.pdf,,1620,1080,1080,720,1h25m44s,4,179 MiB,2.6 MiB
LineareAlgebra.S02E24,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E24.1080p/LineareAlgebra.S02E24.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E24.1080p/LineareAlgebra.S02E24.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E24.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E24.pdf,,1620,1080,1080,720,1h29m57s,4,178 MiB,2.6 MiB
LineareAlgebra.S02E25,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E25.1080p/LineareAlgebra.S02E25.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E25.1080p/LineareAlgebra.S02E25.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E25.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E25.pdf,,1620,1080,1080,720,1h27m30s,4,182 MiB,2.4 MiB
LineareAlgebra.S02E26,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E26.1080p/LineareAlgebra.S02E26.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E26.1080p/LineareAlgebra.S02E26.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E26.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E26.pdf,,1620,1080,1080,720,1h21m21s,4,167 MiB,2.2 MiB
LineareAlgebra.S02E27,Denis Vogel,ss17/Lineare_Algebra_2/LineareAlgebra.S02E27.1080p/LineareAlgebra.S02E27.1080p.mp4,ss17/Lineare_Algebra_2/LineareAlgebra.S02E27.1080p/LineareAlgebra.S02E27.1080p.html,ss17/Lineare_Algebra_2/images/LineareAlgebra.S02E27.png,ss17/Lineare_Algebra_2/pdf/LineareAlgebra.S02E27.pdf,,1620,1080,1080,720,0h54m30s,3,112 MiB,1.6 MiB
